Cell_type,Cell_code,Photo_id,Photo_path,H,W,red_max,red_min,red_mean,green_max,green_min,green_mean,blue_max,blue_min,blue_mean
KSC,KSC,KSC_0005,/Volumes/Data1/Projets/Blood_cells/Data/Munich/AML/KSC/KSC_0005.tiff,400.0,400.0,245.0,146.0,214.72788125,234.0,75.0,189.3963375,242.0,156.0,215.0466875
KSC,KSC,KSC_0013,/Volumes/Data1/Projets/Blood_cells/Data/Munich/AML/KSC/KSC_0013.tiff,400.0,400.0,255.0,66.0,216.41011875,255.0,0.0,195.81229375,255.0,146.0,216.92695625
KSC,KSC,KSC_0009,/Volumes/Data1/Projets/Blood_cells/Data/Munich/AML/KSC/KSC_0009.tiff,400.0,400.0,189.0,75.0,148.4191375,183.0,0.0,128.50475,184.0,112.0,151.96941875
KSC,KSC,KSC_0008,/Volumes/Data1/Projets/Blood_cells/Data/Munich/AML/KSC/KSC_0008.tiff,400.0,400.0,255.0,56.0,227.5287875,255.0,0.0,212.6222125,255.0,159.0,232.6602625
KSC,KSC,KSC_0012,/Volumes/Data1/Projets/Blood_cells/Data/Munich/AML/KSC/KSC_0012.tiff,400.0,400.0,255.0,149.0,228.5070875,253.0,46.0,201.2904,255.0,189.0,232.67345
KSC,KSC,KSC_0004,/Volumes/Data1/Projets/Blood_cells/Data/Munich/AML/KSC/KSC_0004.tiff,400.0,400.0,255.0,124.0,224.68506875,255.0,22.0,200.55201875,255.0,193.0,232.1167625
KSC,KSC,KSC_0003,/Volumes/Data1/Projets/Blood_cells/Data/Munich/AML/KSC/KSC_0003.tiff,400.0,400.0,255.0,172.0,224.7462,255.0,112.0,204.12244375,255.0,135.0,212.0235875
KSC,KSC,KSC_0015,/Volumes/Data1/Projets/Blood_cells/Data/Munich/AML/KSC/KSC_0015.tiff,400.0,400.0,184.0,111.0,149.93626875,178.0,56.0,128.6454625,180.0,120.0,154.68965625
KSC,KSC,KSC_0014,/Volumes/Data1/Projets/Blood_cells/Data/Munich/AML/KSC/KSC_0014.tiff,400.0,400.0,255.0,89.0,222.7428125,247.0,0.0,200.33655,248.0,169.0,226.59104375
KSC,KSC,KSC_0002,/Volumes/Data1/Projets/Blood_cells/Data/Munich/AML/KSC/KSC_0002.tiff,400.0,400.0,255.0,118.0,216.3398125,255.0,21.0,190.292975,255.0,153.0,216.58098125
KSC,KSC,KSC_0001,/Volumes/Data1/Projets/Blood_cells/Data/Munich/AML/KSC/KSC_0001.tiff,400.0,400.0,248.0,107.0,211.4336,244.0,0.0,183.777325,246.0,139.0,212.2543375
KSC,KSC,KSC_0011,/Volumes/Data1/Projets/Blood_cells/Data/Munich/AML/KSC/KSC_0011.tiff,400.0,400.0,255.0,81.0,212.35161875,255.0,0.0,185.99039375,255.0,169.0,212.6733125
KSC,KSC,KSC_0007,/Volumes/Data1/Projets/Blood_cells/Data/Munich/AML/KSC/KSC_0007.tiff,400.0,400.0,255.0,86.0,220.82706875,255.0,0.0,204.08830625,255.0,168.0,222.2273375
KSC,KSC,KSC_0006,/Volumes/Data1/Projets/Blood_cells/Data/Munich/AML/KSC/KSC_0006.tiff,400.0,400.0,255.0,94.0,217.05833125,254.0,12.0,180.36101875,247.0,168.0,215.1114
KSC,KSC,KSC_0010,/Volumes/Data1/Projets/Blood_cells/Data/Munich/AML/KSC/KSC_0010.tiff,400.0,400.0,255.0,69.0,203.37973125,243.0,0.0,176.18805625,255.0,49.0,203.10784375
MYO,MYO,MYO_3073,/Volumes/Data1/Projets/Blood_cells/Data/Munich/AML/MYO/MYO_3073.tiff,400.0,400.0,255.0,0.0,196.51225625,254.0,0.0,167.1701875,255.0,5.0,207.5536375
MYO,MYO,MYO_2398,/Volumes/Data1/Projets/Blood_cells/Data/Munich/AML/MYO/MYO_2398.tiff,400.0,400.0,255.0,69.0,191.3045875,242.0,0.0,157.5515875,251.0,151.0,200.017875
MYO,MYO,MYO_2662,/Volumes/Data1/Projets/Blood_cells/Data/Munich/AML/MYO/MYO_2662.tiff,400.0,400.0,255.0,61.0,215.16695,255.0,0.0,189.78526875,255.0,79.0,216.20328125
MYO,MYO,MYO_2232,/Volumes/Data1/Projets/Blood_cells/Data/Munich/AML/MYO/MYO_2232.tiff,400.0,400.0,255.0,30.0,208.10586875,255.0,0.0,172.91161875,255.0,150.0,214.74933125
MYO,MYO,MYO_2727,/Volumes/Data1/Projets/Blood_cells/Data/Munich/AML/MYO/MYO_2727.tiff,400.0,400.0,255.0,81.0,216.77195625,255.0,0.0,185.80503125,255.0,158.0,216.67936875
MYO,MYO,MYO_1808,/Volumes/Data1/Projets/Blood_cells/Data/Munich/AML/MYO/MYO_1808.tiff,400.0,400.0,255.0,1.0,204.8748625,255.0,0.0,178.43043125,255.0,129.0,211.53685625
MYO,MYO,MYO_2377,/Volumes/Data1/Projets/Blood_cells/Data/Munich/AML/MYO/MYO_2377.tiff,400.0,400.0,255.0,60.0,203.21908125,252.0,0.0,174.81879375,245.0,152.0,205.1685625
MYO,MYO,MYO_3136,/Volumes/Data1/Projets/Blood_cells/Data/Munich/AML/MYO/MYO_3136.tiff,400.0,400.0,255.0,54.0,216.84785625,255.0,0.0,184.11595,252.0,150.0,216.02558125
MYO,MYO,MYO_0063,/Volumes/Data1/Projets/Blood_cells/Data/Munich/AML/MYO/MYO_0063.tiff,400.0,400.0,255.0,27.0,206.17985,249.0,0.0,182.241425,247.0,125.0,208.428175
MYO,MYO,MYO_0599,/Volumes/Data1/Projets/Blood_cells/Data/Munich/AML/MYO/MYO_0599.tiff,400.0,400.0,255.0,5.0,219.673325,255.0,0.0,194.81591875,255.0,149.0,233.5345
MYO,MYO,MYO_0433,/Volumes/Data1/Projets/Blood_cells/Data/Munich/AML/MYO/MYO_0433.tiff,400.0,400.0,255.0,38.0,216.5800375,255.0,0.0,188.52371875,255.0,161.0,226.6641625
MYO,MYO,MYO_0960,/Volumes/Data1/Projets/Blood_cells/Data/Munich/AML/MYO/MYO_0960.tiff,400.0,400.0,255.0,58.0,216.21416875,255.0,0.0,191.4546,255.0,118.0,219.32795
