Cell_type,Cell_code,Photo_id,Photo_path,H,W,red_max,red_min,red_mean,green_max,green_min,green_mean,blue_max,blue_min,blue_mean
basophil,BA,BA_689200,../Data/PBC/basophil/BA_689200.jpg,363.0,360.0,255.0,38.0,220.77561983471074,251.0,0.0,186.91505968778696,216.0,91.0,183.08747321701867
basophil,BA,BA_883452,../Data/PBC/basophil/BA_883452.jpg,363.0,360.0,255.0,43.0,217.6828282828283,243.0,0.0,185.54188858279767,223.0,92.0,183.0077134986226
basophil,BA,BA_382161,../Data/PBC/basophil/BA_382161.jpg,369.0,366.0,255.0,12.0,209.73115938809661,243.0,2.0,187.79882861670146,252.0,106.0,211.67093162734906
basophil,BA,BA_175579,../Data/PBC/basophil/BA_175579.jpg,363.0,360.0,255.0,40.0,221.36229721456994,246.0,0.0,191.2595041322314,221.0,89.0,182.38432047750229
basophil,BA,BA_775722,../Data/PBC/basophil/BA_775722.jpg,363.0,360.0,255.0,40.0,231.95007652280378,251.0,0.0,201.82066880930518,219.0,90.0,188.98451943679217
basophil,BA,BA_209608,../Data/PBC/basophil/BA_209608.jpg,363.0,360.0,255.0,28.0,214.6361570247934,249.0,0.0,180.2037802265075,220.0,91.0,177.2760866238139
basophil,BA,BA_977935,../Data/PBC/basophil/BA_977935.jpg,363.0,360.0,255.0,35.0,217.759052647689,252.0,0.0,188.48292776247322,219.0,90.0,182.542883379247
basophil,BA,BA_95396,../Data/PBC/basophil/BA_95396.jpg,363.0,360.0,255.0,36.0,226.80403275176002,253.0,0.0,193.16116467707377,218.0,92.0,185.88587389041933
basophil,BA,BA_693714,../Data/PBC/basophil/BA_693714.jpg,363.0,360.0,255.0,40.0,223.6527701254974,247.0,0.0,193.81401132537496,224.0,76.0,184.66955922865014
basophil,BA,BA_878384,../Data/PBC/basophil/BA_878384.jpg,363.0,360.0,255.0,38.0,209.93436639118457,241.0,0.0,173.5090143862871,220.0,97.0,176.1225589225589
